Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Halt Time,Departure Time,Distance,Distance Traveled,Distance to Next Station,Distance to Destination,Platform Number,Source Station,Source Station Name,Destination Station,Destination Station Name,Coach Count,Coaches
20627,Chennai Egmore-Nagercoil Vande Bharat Express,3,VM,Villupuram Junction,06:52:00,3,06:55:00,158,158.0,178.0,568.0,5,MS,Chennai Egmore,NCJ,Nagercoil,20,"C18, C1, E2, E1, C17, C2, C16, C15, C14, C13, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20627,Chennai Egmore-Nagercoil Vande Bharat Express,4,TPJ,Tiruchchirappalli Junction,08:55:00,5,09:00:00,336,336.0,94.0,390.0,4,MS,Chennai Egmore,NCJ,Nagercoil,20,"C18, C1, E2, E1, C17, C2, C16, C15, C14, C13, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20627,Chennai Egmore-Nagercoil Vande Bharat Express,5,DG,Dindigul Junction,09:53:00,2,09:55:00,430,430.0,66.0,296.0,2,MS,Chennai Egmore,NCJ,Nagercoil,20,"C18, C1, E2, E1, C17, C2, C16, C15, C14, C13, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20627,Chennai Egmore-Nagercoil Vande Bharat Express,6,MDU,Madurai Junction,10:38:00,2,10:40:00,496,496.0,92.0,230.0,5,MS,Chennai Egmore,NCJ,Nagercoil,20,"C18, C1, E2, E1, C17, C2, C16, C15, C14, C13, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20627,Chennai Egmore-Nagercoil Vande Bharat Express,7,CVP,Kovilpatti,11:38:00,2,11:40:00,588,588.0,65.0,138.0,3,MS,Chennai Egmore,NCJ,Nagercoil,20,"C18, C1, E2, E1, C17, C2, C16, C15, C14, C13, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20627,Chennai Egmore-Nagercoil Vande Bharat Express,8,TEN,Tirunelveli Junction,12:38:00,2,12:40:00,653,653.0,73.0,73.0,5,MS,Chennai Egmore,NCJ,Nagercoil,20,"C18, C1, E2, E1, C17, C2, C16, C15, C14, C13, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20627,Chennai Egmore-Nagercoil Vande Bharat Express,9,NCJ,Nagercoil Junction,13:50:00,0,--:--:--,726,726.0,0.0,0.0,1,MS,Chennai Egmore,NCJ,Nagercoil,20,"C18, C1, E2, E1, C17, C2, C16, C15, C14, C13, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20628,Nagercoil-Chennai Egmore Vande Bharat Express,1,NCJ,Nagercoil Junction,--:--:--,0,14:20:00,0,0.0,73.0,726.0,5,NCJ,Nagercoil,MS,Chennai Egmore,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20628,Nagercoil-Chennai Egmore Vande Bharat Express,2,TEN,Tirunelveli Junction,15:15:00,2,15:17:00,73,73.0,65.0,653.0,3,NCJ,Nagercoil,MS,Chennai Egmore,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20628,Nagercoil-Chennai Egmore Vande Bharat Express,3,CVP,Kovilpatti,16:03:00,2,16:05:00,138,138.0,92.0,588.0,3,NCJ,Nagercoil,MS,Chennai Egmore,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20628,Nagercoil-Chennai Egmore Vande Bharat Express,4,MDU,Madurai Junction,17:03:00,2,17:05:00,230,230.0,66.0,496.0,5,NCJ,Nagercoil,MS,Chennai Egmore,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
